"123, 557","126, 57"
"135, 520","146, 41"
"127, 556","129, 78"
"123, 559","118, 59"
"132, 559","128, 81"
"129, 554","126, 53"
"125, 557","130, 57"
"124, 555","124, 55"
"150, 555","153, 54"
"77, 542","88, 36"
"129, 558","126, 58"
"128, 562","126, 62"
"124, 554","121, 55"
"159, 565","161, 65"
"159, 567","157, 54"
"124, 556","123, 78"
"116, 551","122, 73"
"131, 556","136, 78"
"129, 575","129, 77"
"136, 561","141, 60"
"124, 561","126, 61"
"166, 559","161, 81"
"124, 560","121, 82"
"122, 564","119, 86"
"136, 543","153, 59"
"85, 573","83, 61"
"124, 561","120, 61"
"123, 561","122, 62"
"110, 556","109, 56"
"125, 557","126, 79"
"122, 561","122, 83"
"124, 570","130, 49"
"131, 555","132, 56"
"129, 556","132, 57"
"125, 556","125, 56"
"151, 554","154, 76"
"128, 578","127, 81"
"155, 564","160, 86"
"116, 564","120, 71"
"190, 554","192, 43"
"124, 572","111, 94"
"124, 560","122, 81"
"121, 553","119, 54"
"130, 560","126, 84"
"121, 559","117, 48"
"126, 549","121, 71"
"165, 541","172, 62"
"130, 558","132, 79"
"118, 556","120, 56"
"117, 552","118, 52"
"119, 556","118, 57"
