"137, 569","138, 71"
"233, 500","227, 98"
"190, 554","192, 43"
"173, 563","174, 50"
"229, 534","230, 117"
"251, 531","249, 129"
"125, 569","131, 49"
"223, 538","225, 121"
"117, 552","118, 52"
"294, 565","282, 154"
"236, 530","230, 127"
"270, 610","268, 209"
"251, 542","245, 141"
"122, 560","124, 82"
"127, 550","126, 50"
"257, 631","252, 216"
"121, 554","117, 54"
"131, 559","126, 52"
"119, 560","121, 60"
"232, 573","229, 157"
"231, 545","231, 145"
"214, 550","214, 136"
"121, 550","124, 50"
"235, 543","230, 128"
"133, 544","136, 65"
"166, 559","161, 81"
"211, 532","209, 118"
"120, 548","128, 48"
"286, 597","285, 182"
"123, 550","128, 73"
"125, 557","126, 79"
"123, 553","130, 52"
"171, 563","168, 63"
"224, 567","219, 165"
"126, 551","123, 50"
"219, 519","217, 118"
"127, 556","129, 78"
"121, 581","127, 82"
"209, 524","206, 107"
"237, 556","232, 154"
"127, 561","128, 61"
"202, 539","205, 126"
"130, 577","127, 80"
"211, 515","211, 99"
"123, 555","124, 54"
"236, 543","231, 129"
"219, 525","218, 111"
"244, 551","242, 137"
"130, 553","129, 53"
"124, 557","121, 57"
"123, 559","127, 81"
"218, 527","215, 111"
"121, 559","117, 48"
"129, 555","126, 55"
"129, 559","129, 81"
"122, 559","126, 59"
"308, 617","307, 215"
"116, 551","122, 73"
"272, 594","268, 179"
"117, 549","120, 49"
"112, 554","113, 54"
"277, 594","270, 179"
"275, 600","272, 184"
"130, 568","128, 47"
"137, 577","136, 80"
"268, 576","267, 174"
"122, 561","121, 82"
"121, 557","123, 79"
"129, 569","132, 48"
"128, 554","127, 54"
"124, 551","119, 51"
"129, 554","126, 53"
"295, 538","294, 135"
"124, 554","121, 55"
"137, 578","137, 58"
"129, 558","123, 80"
"240, 565","235, 149"
"110, 556","109, 56"
"124, 555","128, 56"
"221, 566","207, 153"
"176, 539","174, 30"
"131, 564","132, 42"
"120, 581","124, 74"
"278, 566","279, 153"
"277, 588","269, 175"
"102, 538","107, 38"
"126, 559","121, 59"
"239, 584","240, 168"
"240, 560","239, 145"
"289, 575","287, 173"
"209, 517","202, 102"
