"232, 573","229, 157"
"272, 594","268, 179"
"242, 570","235, 155"
"219, 527","215, 111"
"219, 519","217, 118"
"261, 626","255, 209"
"264, 556","256, 154"
"242, 548","235, 133"
"230, 554","220, 142"
"255, 567","246, 165"
"225, 542","222, 125"
"257, 551","259, 138"
"253, 536","252, 121"
"294, 565","282, 154"
"243, 544","240, 142"
"234, 569","232, 153"
"257, 631","252, 216"
"222, 539","223, 125"
"202, 539","205, 126"
"228, 547","222, 133"
"271, 549","288, 137"
"209, 524","206, 107"
"241, 547","239, 146"
"241, 579","236, 164"
"270, 564","271, 148"
"213, 536","212, 121"
"235, 548","237, 131"
"286, 597","285, 182"
"281, 580","276, 166"
"232, 544","225, 131"
"235, 548","228, 133"
"254, 588","249, 172"
"209, 517","202, 102"
"266, 559","263, 158"
"223, 538","225, 121"
"268, 549","262, 147"
"234, 552","226, 138"
"253, 556","246, 155"
"236, 543","231, 129"
"237, 556","232, 154"
