"215, 549","210, 136"
"235, 545","231, 129"
"218, 527","215, 111"
"286, 597","285, 182"
"240, 560","239, 145"
"236, 571","232, 155"
"245, 567","240, 164"
"235, 545","234, 133"
"279, 568","280, 154"
"234, 552","226, 138"
"286, 597","285, 182"
"214, 537","208, 120"
"268, 576","267, 174"
"236, 530","230, 127"
"214, 550","214, 136"
"240, 565","235, 149"
"227, 557","224, 142"
"219, 519","217, 118"
"294, 565","282, 154"
"239, 535","234, 120"
"231, 545","231, 145"
"272, 594","268, 179"
"235, 548","228, 133"
"233, 500","227, 98"
"277, 594","270, 179"
"254, 547","245, 133"
"225, 559","222, 141"
"234, 549","230, 133"
"258, 553","254, 150"
"254, 535","254, 135"
"222, 531","216, 117"
"225, 542","222, 125"
"234, 533","234, 118"
"289, 575","287, 173"
"224, 567","219, 165"
"221, 566","207, 153"
"224, 567","219, 165"
"222, 526","223, 111"
"240, 537","233, 122"
"200, 550","194, 134"
"251, 548","250, 132"
"257, 631","252, 216"
"219, 519","217, 118"
"295, 538","294, 135"
"232, 573","229, 157"
"246, 554","244, 140"
"257, 551","259, 138"
"244, 551","242, 137"
"278, 566","279, 153"
"241, 579","236, 164"
"277, 588","269, 175"
"226, 534","226, 134"
"232, 562","238, 148"
"219, 525","218, 111"
"219, 537","220, 120"
"233, 500","227, 98"
"240, 560","239, 145"
"232, 572","225, 156"
"294, 565","282, 154"
"227, 540","244, 122"
"209, 524","206, 107"
"246, 554","244, 140"
"225, 540","225, 124"
"237, 556","232, 154"
"223, 538","225, 121"
"299, 574","296, 161"
"211, 515","211, 99"
"227, 540","244, 122"
"251, 531","249, 129"
"211, 515","211, 99"
"219, 527","232, 111"
"251, 542","245, 141"
"304, 515","301, 203"
"254, 588","249, 172"
"203, 526","202, 111"
"249, 564","249, 148"
"249, 582","243, 166"
"225, 540","225, 124"
"252, 556","248, 154"
"243, 544","240, 142"
