"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","67.1","0.0","68.3","0.0","1.2","0.0","69.1","0.0","2.0","0.0","69.5","0.0","2.4","0.0"
"PORION","-24.6","-12.9","-25.8","-11.7","-1.2","1.2","-22.4","-17.1","2.2","-4.2","-23.8","-17.7","0.9","-4.8"
"ORBITALE","48.4","-28.4","50.1","-29.7","1.8","-1.3","50.2","-28.0","1.8","0.4","51.4","-28.8","3.0","-0.4"
"U I APEX","48.1","-57.0","49.2","-58.6","1.1","-1.6","49.4","-59.4","1.3","-2.5","50.3","-60.2","2.2","-3.2"
"POINT A","53.3","-57.5","53.8","-58.5","0.6","-1.0","55.2","-58.9","2.0","-1.4","55.5","-58.5","2.3","-1.0"
"U I EDGE","53.8","-80.1","54.9","-81.6","1.1","-1.4","57.5","-81.7","3.7","-1.6","58.5","-81.8","4.7","-1.7"
"L I EDGE","51.7","-77.8","52.1","-80.5","0.4","-2.7","55.6","-81.8","3.9","-4.0","56.9","-81.8","5.2","-4.0"
"POINT B","46.6","-95.2","47.5","-97.2","0.9","-2.0","51.8","-98.4","5.2","-3.2","53.2","-98.8","6.6","-3.6"
"L I APEX","40.8","-97.2","41.2","-99.7","0.4","-2.5","45.3","-101.9","4.4","-4.8","47.2","-101.7","6.4","-4.6"
"POGONION","47.2","-108.5","47.9","-111.3","0.6","-2.8","53.1","-111.9","5.9","-3.4","54.7","-113.2","7.5","-4.8"
"MENTON","37.5","-112.6","39.1","-115.7","1.6","-3.1","44.6","-118.9","7.1","-6.3","45.9","-120.0","8.4","-7.4"
"U 6 APEX","30.2","-51.7","31.1","-52.5","0.9","-0.8","N/A","N/A","n/a","n/a","33.5","-56.7","3.3","-4.9"
"U 6 CUSP","24.2","-69.5","25.9","-71.7","1.7","-2.3","N/A","N/A","n/a","n/a","28.1","-74.5","4.0","-5.0"
"L 6 CUSP","27.1","-71.5","27.9","-73.6","0.8","-2.1","N/A","N/A","n/a","n/a","31.3","-75.8","4.2","-4.3"
"L 6 APEX","18.0","-88.0","19.0","-90.8","1.0","-2.8","N/A","N/A","n/a","n/a","24.1","-91.8","6.2","-3.8"
"GONION L","-3.7","-82.4","-4.8","-84.3","-1.0","-1.9","2.2","-90.7","6.0","-8.3","0.6","-91.3","4.4","-8.9"
"GONION U","-3.4","-82.0","-4.9","-84.3","-1.5","-2.3","2.1","-89.4","5.5","-7.4","0.3","-88.7","3.7","-6.7"
"CONDYLE","-18.8","-14.7","-20.5","-14.6","-1.6","0.1","-18.4","-20.4","0.4","-5.6","-19.7","-20.7","-0.9","-5.9"
"PNS","11.8","-45.1","11.2","-45.5","-0.6","-0.4","11.9","-46.4","0.1","-1.2","12.0","-46.3","0.2","-1.2"
"BASION","-39.1","-40.8","-38.4","-39.3","0.8","1.6","-32.0","-40.2","7.2","0.6","-34.4","-40.5","4.7","0.3"
"MID GONION","-3.5","-82.2","-4.8","-84.3","-1.3","-2.1","2.2","-90.1","5.7","-7.9","0.5","-90.0","4.0","-7.8"
"ANS","60.2","-51.8","60.6","-53.0","0.4","-1.3","61.4","-52.4","1.2","-0.6","63.9","-53.5","3.7","-1.7"
"ARTICULAR","-16.9","-29.4","-18.4","-30.5","-1.5","-1.1","-17.5","-29.7","-0.6","-0.3","-17.8","-29.2","-0.9","0.3"
