"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY","X5","Y5","dX","dY","X6","Y6","dX","dY","X7","Y7","dX","dY","X8","Y8","dX","dY","X9","Y9","dX","dY","X10","Y10","dX","dY","X11","Y11","dX","dY","X12","Y12","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","69.1","0.0","69.9","0.0","0.8","0.0","70.5","0.0","1.4","0.0","70.8","0.0","1.6","0.0","71.9","0.0","2.7","0.0","71.8","0.0","2.7","0.0","73.0","0.0","3.8","0.0","73.3","0.0","4.1","0.0","74.0","0.0","4.8","0.0","74.4","0.0","5.3","0.0","74.6","0.0","5.5","0.0","74.5","0.0","5.4","0.0"
"PORION","-21.2","-14.5","-15.4","-12.8","5.8","1.7","-17.6","-14.6","3.6","-0.1","-18.0","-16.0","3.2","-1.5","-17.8","-14.1","3.5","0.4","-21.8","-12.9","-0.6","1.6","-24.9","-18.6","-3.6","-4.1","-22.8","-18.8","-1.5","-4.3","-23.4","-18.6","-2.2","-4.1","-24.5","-18.4","-3.2","-3.9","-22.7","-18.8","-1.4","-4.3","-22.9","-14.0","-1.7","0.5"
"ORBITALE","52.5","-25.1","54.8","-23.9","2.3","1.2","52.4","-26.5","-0.1","-1.4","53.8","-26.7","1.3","-1.6","54.9","-27.0","2.4","-1.9","55.1","-24.8","2.6","0.3","57.0","-28.2","4.5","-3.1","58.6","-26.0","6.1","-0.9","58.5","-27.1","6.0","-1.9","59.6","-26.7","7.1","-1.6","59.4","-27.9","6.9","-2.8","58.9","-27.9","6.4","-2.8"
"U I APEX","n/a","n/a","56.4","-51.3","n/a","n/a","56.2","-54.0","n/a","n/a","55.8","-56.2","n/a","n/a","56.1","-53.6","n/a","n/a","56.1","-54.4","n/a","n/a","56.7","-53.8","n/a","n/a","60.2","-61.6","n/a","n/a","61.0","-63.5","n/a","n/a","60.1","-64.3","n/a","n/a","58.3","-61.2","n/a","n/a","58.5","-62.5","n/a","n/a"
"POINT A","61.9","-49.7","62.3","-51.0","0.4","-1.2","62.5","-53.5","0.5","-3.7","61.9","-56.1","-0.1","-6.4","62.0","-57.1","0.0","-7.4","62.8","-58.7","0.8","-8.9","64.0","-60.5","2.1","-10.8","65.6","-63.7","3.7","-14.0","65.5","-63.1","3.6","-13.4","65.3","-64.0","3.4","-14.3","64.4","-65.4","2.5","-15.7","64.1","-65.6","2.2","-15.8"
"U I EDGE","n/a","n/a","60.6","-74.7","n/a","n/a","61.4","-78.2","n/a","n/a","62.4","-79.2","n/a","n/a","61.6","-81.9","n/a","n/a","63.0","-83.0","n/a","n/a","65.7","-85.5","n/a","n/a","66.2","-89.2","n/a","n/a","64.5","-91.2","n/a","n/a","64.1","-90.8","n/a","n/a","62.5","-91.7","n/a","n/a","62.3","-92.3","n/a","n/a"
"L I EDGE","n/a","n/a","55.1","-70.4","n/a","n/a","55.3","-72.3","n/a","n/a","56.0","-73.3","n/a","n/a","56.0","-76.7","n/a","n/a","57.5","-77.9","n/a","n/a","59.4","-78.8","n/a","n/a","60.8","-81.2","n/a","n/a","60.7","-85.3","n/a","n/a","61.4","-89.7","n/a","n/a","61.2","-90.7","n/a","n/a","59.7","-88.6","n/a","n/a"
"POINT B","43.0","-86.6","45.4","-89.3","2.4","-2.7","44.8","-91.2","1.8","-4.6","45.9","-93.1","2.8","-6.5","44.9","-95.7","1.8","-9.1","45.8","-98.4","2.8","-11.8","48.1","-100.2","5.0","-13.6","50.6","-103.3","7.5","-16.7","49.4","-107.6","6.4","-21.0","46.6","-108.2","3.6","-21.7","46.5","-109.7","3.5","-23.1","46.8","-108.7","3.8","-22.1"
"L I APEX","37.6","-85.3","40.6","-88.0","3.0","-2.7","38.6","-91.3","1.0","-6.0","39.3","-94.4","1.7","-9.1","39.4","-94.7","1.9","-9.4","39.9","-97.1","2.4","-11.8","41.5","-98.6","3.9","-13.3","43.2","-102.9","5.6","-17.6","43.3","-106.2","5.7","-20.9","40.1","-106.7","2.5","-21.4","41.3","-106.0","3.7","-20.7","39.0","-107.1","1.5","-21.8"
"POGONION","39.9","-94.4","42.6","-97.1","2.8","-2.7","42.3","-99.9","2.5","-5.4","43.6","-101.5","3.7","-7.0","42.4","-104.4","2.5","-10.0","43.8","-106.8","3.9","-12.4","46.7","-108.3","6.8","-13.9","49.6","-112.2","9.8","-17.8","48.0","-116.9","8.1","-22.4","45.0","-118.3","5.1","-23.9","45.1","-119.4","5.3","-24.9","45.3","-119.2","5.4","-24.8"
"MENTON","29.9","-99.6","32.1","-103.5","2.2","-3.9","32.1","-106.8","2.2","-7.2","33.3","-108.5","3.4","-8.9","32.1","-111.1","2.3","-11.5","33.2","-113.7","3.4","-14.1","36.4","-116.9","6.5","-17.3","39.2","-122.0","9.3","-22.5","37.3","-126.0","7.4","-26.5","34.3","-127.5","4.4","-27.9","35.1","-127.5","5.2","-27.9","35.0","-127.2","5.1","-27.6"
"U 6 APEX","36.1","-40.8","37.0","-42.1","0.9","-1.3","37.8","-43.6","1.7","-2.8","37.0","-46.1","1.0","-5.3","37.4","-48.0","1.4","-7.1","38.7","-49.7","2.7","-8.9","41.6","-52.2","5.5","-11.4","43.2","-54.9","7.1","-14.1","42.4","-57.9","6.3","-17.1","40.1","-57.6","4.0","-16.7","39.4","-59.5","3.3","-18.7","39.3","-57.2","3.2","-16.3"
"U 6 CUSP","26.3","-56.2","28.9","-60.2","2.6","-4.0","27.7","-62.9","1.4","-6.7","27.6","-64.7","1.4","-8.5","27.2","-67.1","1.0","-10.8","28.2","-68.6","1.9","-12.3","30.7","-72.3","4.5","-16.1","31.3","-75.8","5.0","-19.6","32.4","-78.2","6.1","-22.0","32.3","-79.8","6.0","-23.6","31.8","-79.1","5.5","-22.8","32.8","-80.9","6.5","-24.6"
"L 6 CUSP","24.1","-58.6","27.1","-61.4","3.0","-2.8","28.0","-63.8","4.0","-5.2","28.1","-65.6","4.1","-7.0","27.9","-67.1","3.8","-8.5","28.8","-70.3","4.7","-11.7","31.0","-74.0","6.9","-15.4","33.1","-77.9","9.0","-19.3","33.9","-80.1","9.8","-21.4","32.2","-80.3","8.1","-21.6","32.6","-80.5","8.6","-21.9","33.2","-81.8","9.1","-23.1"
"L 6 APEX","14.7","-74.5","18.0","-79.4","3.3","-4.9","14.6","-81.1","-0.1","-6.6","16.2","-86.6","1.5","-12.1","14.6","-86.8","-0.1","-12.3","15.4","-88.6","0.8","-14.1","19.4","-94.6","4.7","-20.1","20.8","-98.4","6.1","-23.9","22.2","-101.1","7.5","-26.6","18.3","-101.5","3.6","-27.0","20.8","-102.5","6.1","-28.0","20.6","-102.3","5.9","-27.8"
"GONION L","-6.4","-69.8","-7.3","-72.3","-0.9","-2.5","-6.5","-75.1","-0.2","-5.2","-7.8","-76.7","-1.4","-6.8","-8.9","-77.7","-2.6","-7.9","-10.5","-79.9","-4.1","-10.1","-10.4","-84.7","-4.0","-14.9","-10.5","-87.9","-4.2","-18.1","-12.2","-89.2","-5.8","-19.4","-14.8","-89.5","-8.4","-19.7","-13.0","-90.3","-6.6","-20.5","-14.4","-89.9","-8.0","-20.1"
"GONION U","-4.6","-65.7","-6.5","-68.5","-1.9","-2.8","-8.4","-69.3","-3.7","-3.6","-9.5","-72.3","-4.8","-6.6","-11.0","-72.4","-6.4","-6.7","-10.6","-74.8","-6.0","-9.1","-9.4","-76.2","-4.7","-10.5","-11.7","-81.2","-7.1","-15.5","-11.8","-84.1","-7.1","-18.4","-15.3","-82.2","-10.7","-16.5","-14.1","-83.7","-9.5","-18.0","-14.1","-84.4","-9.4","-18.7"
"CONDYLE","-13.6","-13.8","-14.8","-12.0","-1.2","1.8","-15.9","-13.1","-2.3","0.8","-16.0","-13.9","-2.4","-0.1","-16.7","-12.9","-3.1","0.9","-21.2","-13.0","-7.6","0.8","-20.6","-17.2","-7.0","-3.4","-20.1","-17.5","-6.5","-3.7","-20.2","-15.5","-6.6","-1.7","-19.8","-16.3","-6.2","-2.5","-18.9","-18.0","-5.3","-4.2","-21.2","-12.4","-7.6","1.4"
"PNS","18.4","-40.3","17.9","-41.9","-0.6","-1.6","16.9","-43.6","-1.6","-3.3","16.9","-44.0","-1.5","-3.8","16.8","-44.7","-1.7","-4.5","17.0","-46.9","-1.5","-6.6","16.9","-48.3","-1.5","-8.0","15.6","-50.0","-2.8","-9.7","14.4","-50.5","-4.1","-10.2","14.6","-50.2","-3.8","-9.9","13.2","-50.1","-5.2","-9.8","13.9","-49.6","-4.5","-9.3"
"BASION","-25.7","-28.6","-25.8","-28.2","-0.1","0.4","-26.4","-28.5","-0.7","0.1","-27.9","-29.0","-2.2","-0.4","-26.9","-28.6","-1.2","0.0","-28.3","-34.3","-2.7","-5.6","-29.8","-37.3","-4.1","-8.7","-29.6","-37.5","-3.9","-8.9","-29.8","-36.8","-4.1","-8.1","-30.0","-33.6","-4.3","-5.0","-28.9","-35.1","-3.2","-6.5","-29.3","-33.4","-3.7","-4.8"
"MID GONION","-5.5","-67.8","-6.9","-70.4","-1.4","-2.6","-7.5","-72.2","-2.0","-4.4","-8.6","-74.5","-3.1","-6.7","-9.9","-75.1","-4.5","-7.3","-10.5","-77.3","-5.0","-9.6","-9.9","-80.5","-4.4","-12.7","-11.1","-84.5","-5.6","-16.8","-12.0","-86.7","-6.5","-18.9","-15.1","-85.8","-9.6","-18.1","-13.6","-87.0","-8.1","-19.3","-14.2","-87.2","-8.7","-19.4"
"ANS","67.1","-44.2","66.1","-46.6","-1.0","-2.4","66.6","-48.4","-0.5","-4.2","66.7","-50.0","-0.4","-5.9","66.5","-52.0","-0.6","-7.9","66.5","-52.5","-0.6","-8.4","68.4","-54.9","1.3","-10.7","69.9","-57.3","2.8","-13.2","69.0","-58.8","1.9","-14.6","70.6","-59.4","3.5","-15.3","68.4","-60.0","1.3","-15.8","69.1","-60.9","2.0","-16.8"
"ARTICULAR","-16.1","-25.1","-16.8","-26.4","-0.7","-1.2","-17.3","-26.6","-1.2","-1.5","-18.3","-27.9","-2.3","-2.7","-18.2","-27.3","-2.2","-2.2","-19.2","-28.9","-3.1","-3.8","-21.5","-31.7","-5.4","-6.6","-20.8","-32.8","-4.7","-7.7","-21.4","-32.5","-5.3","-7.3","-21.7","-31.5","-5.6","-6.4","-21.7","-31.8","-5.7","-6.6","-22.2","-31.6","-6.1","-6.4"
