"    Landmark","X1","Y1","X2","Y2","dX","dY","X4","Y4","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","60.5","0.0","62.4","0.0","1.9","0.0","67.6","0.0","7.1","0.0"
"PORION","-12.7","-20.1","-11.9","-17.2","0.8","2.9","-16.6","-16.4","-4.0","3.7"
"ORBITALE","45.0","-21.2","49.2","-20.8","4.2","0.4","52.0","-23.7","7.0","-2.6"
"U I APEX","52.1","-39.7","55.4","-44.7","3.3","-5.0","59.1","-50.9","7.0","-11.3"
"POINT A","57.6","-39.8","59.4","-43.1","1.8","-3.2","64.4","-49.2","6.8","-9.4"
"U I EDGE","58.8","-57.6","64.5","-63.5","5.7","-5.8","67.7","-69.6","8.8","-11.9"
"L I EDGE","58.6","-57.8","62.8","-61.9","4.2","-4.1","66.1","-67.3","7.5","-9.5"
"POINT B","51.6","-71.0","56.9","-74.6","5.3","-3.6","61.0","-82.3","9.4","-11.3"
"L I APEX","48.4","-70.7","50.6","-76.8","2.2","-6.0","56.3","-84.2","7.9","-13.4"
"POGONION","49.9","-83.0","54.8","-89.4","4.9","-6.4","60.8","-98.3","10.9","-15.3"
"MENTON","44.5","-86.8","48.6","-92.2","4.1","-5.4","53.7","-103.4","9.2","-16.7"
"U 6 APEX","32.9","-34.5","36.5","-39.1","3.6","-4.6","40.1","-47.8","7.2","-13.3"
"U 6 CUSP","32.1","-50.3","34.9","-55.2","2.8","-4.9","39.1","-64.2","7.0","-14.0"
"L 6 CUSP","32.4","-52.1","36.1","-57.0","3.7","-4.9","37.2","-66.0","4.7","-13.9"
"L 6 APEX","24.6","-65.3","29.1","-73.2","4.5","-7.9","28.4","-80.0","3.9","-14.7"
"GONION L","-2.8","-63.4","-3.6","-67.0","-0.8","-3.6","-3.8","-79.5","-1.0","-16.1"
"GONION U","-3.0","-61.8","-3.2","-65.6","-0.2","-3.8","-4.1","-77.5","-1.2","-15.6"
"CONDYLE","-10.6","-15.7","-9.2","-15.3","1.4","0.3","-13.4","-16.4","-2.8","-0.8"
"PNS","16.2","-34.9","16.8","-37.4","0.6","-2.5","16.2","-42.7","0.0","-7.8"
"BASION","-22.5","-26.4","-21.4","-29.1","1.1","-2.7","-27.8","-34.4","-5.3","-7.9"
"MID GONION","-2.9","-62.6","-3.4","-66.3","-0.5","-3.7","-4.0","-78.5","-1.1","-15.9"
"ANS","60.0","-35.8","64.5","-38.6","4.5","-2.8","69.4","-42.6","9.4","-6.8"
"ARTICULAR","-12.1","-21.1","-12.8","-23.3","-0.7","-2.3","-16.5","-26.9","-4.5","-5.8"
