"    Landmark","X1","Y1","X2","Y2","dX","dY","X3","Y3","dX","dY","X4","Y4","dX","dY"
"SELLA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"NASION","53.8","0.0","59.3","0.0","5.5","0.0","62.2","0.0","8.4","0.0","63.0","0.0","9.2","0.0"
"PORION","-19.1","-13.6","-20.2","-16.7","-1.1","-3.1","-20.7","-15.1","-1.6","-1.5","-21.7","-15.0","-2.6","-1.3"
"ORBITALE","40.2","-19.3","43.1","-22.1","2.9","-2.8","44.6","-22.8","4.4","-3.5","44.4","-21.9","4.2","-2.6"
"U I APEX","43.9","-41.5","49.0","-46.2","5.2","-4.6","50.3","-48.6","6.4","-7.0","50.3","-48.4","6.5","-6.9"
"POINT A","49.6","-43.7","53.7","-47.6","4.1","-3.9","55.4","-49.1","5.7","-5.4","56.0","-48.9","6.4","-5.2"
"U I EDGE","50.1","-60.1","54.8","-66.1","4.7","-6.0","56.6","-68.4","6.4","-8.3","58.0","-68.7","7.8","-8.6"
"L I EDGE","45.8","-62.0","52.5","-62.4","6.7","-0.4","52.5","-67.5","6.7","-5.5","55.3","-66.3","9.5","-4.3"
"POINT B","38.5","-72.3","45.1","-75.3","6.6","-3.0","45.3","-80.5","6.8","-8.2","48.9","-80.1","10.4","-7.7"
"L I APEX","33.6","-72.9","40.4","-75.3","6.8","-2.4","41.2","-81.2","7.6","-8.3","42.1","-80.0","8.4","-7.1"
"POGONION","34.2","-83.4","42.8","-87.1","8.6","-3.6","42.5","-93.5","8.3","-10.0","47.0","-92.2","12.8","-8.8"
"MENTON","28.1","-85.4","35.6","-91.2","7.5","-5.8","35.6","-97.0","7.5","-11.6","38.3","-96.8","10.1","-11.4"
"U 6 APEX","29.5","-35.3","32.9","-41.3","3.4","-6.0","35.2","-44.2","5.6","-8.9","35.3","-43.5","5.8","-8.2"
"U 6 CUSP","22.6","-49.6","27.9","-56.7","5.4","-7.1","31.2","-60.3","8.6","-10.7","31.3","-60.4","8.7","-10.8"
"L 6 CUSP","21.5","-51.7","28.8","-57.9","7.3","-6.2","30.8","-62.1","9.3","-10.4","32.5","-61.7","11.0","-10.1"
"L 6 APEX","12.0","-65.9","20.0","-73.9","7.9","-8.0","24.5","-78.1","12.5","-12.2","27.4","-76.4","15.3","-10.5"
"GONION L","-11.2","-59.7","-8.0","-68.0","3.2","-8.3","-10.4","-69.1","0.7","-9.4","-11.7","-69.6","-0.5","-9.9"
"GONION U","-10.7","-58.0","-7.6","-64.3","3.1","-6.2","-11.7","-67.1","-1.0","-9.1","-11.4","-68.3","-0.8","-10.2"
"CONDYLE","-13.4","-13.4","-14.1","-18.4","-0.7","-5.0","-14.0","-15.9","-0.6","-2.5","-15.2","-17.5","-1.8","-4.1"
"PNS","12.1","-32.8","12.7","-38.2","0.5","-5.4","12.6","-38.6","0.5","-5.8","12.5","-38.4","0.4","-5.6"
"BASION","-22.4","-26.8","-25.4","-30.8","-2.9","-4.0","-24.7","-29.3","-2.3","-2.5","-26.6","-28.5","-4.2","-1.8"
"MID GONION","-10.9","-58.9","-7.8","-66.1","3.1","-7.3","-11.1","-68.1","-0.2","-9.2","-11.6","-68.9","-0.6","-10.1"
"ANS","53.0","-39.9","57.2","-44.8","4.1","-4.9","58.9","-46.8","5.9","-6.8","57.6","-45.7","4.6","-5.8"
"ARTICULAR","-14.5","-22.3","-17.0","-25.7","-2.5","-3.3","-16.4","-25.9","-1.9","-3.6","-17.4","-24.9","-2.9","-2.6"
